codigo_actual,codigo_nuevo_propuesto,descripcion,familia_nombre_propuesta,estado_revision
ING-0019,ING-CAR-0018,POLLO CUARTO DELANTERO 550 G UNIDAD,Carnes y aves,propuesto
ING-0310,ING-FV-0031,CEBOLLA,"Frutas, verduras y hierbas",propuesto
ING-0314,ING-FV-0034,CEBOLLINO 125,"Frutas, verduras y hierbas",propuesto
ING-0522,ING-BEB-0020,AGUA DE AZAHAR 1L,Bebidas y líquidos,propuesto
ING-0525,ING-SEC-0001,ALMENDRA ENTERA REPELEDA,Frutos secos y semillas,propuesto
ING-0533,ING-END-0001,AZUCAR ANTIAPELMA GLAS 1K,Endulzantes y azúcares,propuesto
ING-0605,ING-HUE-0005,HUEVOS,Huevos y ovoproductos,propuesto
ING-0623,ING-LAC-0008,MANTEQUILLA 1K,Lácteos,propuesto
ING-0713,ING-ACE-0007,ACEITE OLIVA 1L,Aceites y grasas,propuesto
ING-0743,ING-ESP-0021,AZAFRAN HEBRA POTE 4SB 100MG,"Especias, sales y aromáticos",propuesto
ING-0750,ING-CAR-0156,CONCENTRADO CARNE BOVRIL 500G,Carnes y aves,propuesto
ING-0763,ING-ESP-0027,ESPECIAS CLAVO GRANO HS 300G,"Especias, sales y aromáticos",propuesto
ING-0773,ING-ESP-0037,ESPECIAS PIMIENTA BLANCA MOLIDA 550G,"Especias, sales y aromáticos",propuesto
ING-0834,ING-CER-0048,PASTA FILO 500 G MAKRO,"Cereales, harinas, pan y masas",propuesto
ING-0865,ING-ESP-0054,SAL REFINADA MC 1KG,"Especias, sales y aromáticos",propuesto
ING-ACE,ING-ACE-0011,Aceite,Aceites y grasas,propuesto
ING-AZUDE,ING-END-0017,Azucar De Datiles,Endulzantes y azúcares,propuesto
ING-CAPDE,ENV-ENV-0022,Capsulas de papel,Envases y packaging,propuesto
ING-DAT,ING-FRU-0082,Datiles,Frutas,propuesto
ING-FRUSEC,ING-SEC-0021,Frutos Secos,Frutos secos y semillas,propuesto
ING-HARDE,ING-CER-0064,Harina De Garbanzos,"Cereales, harinas, pan y masas",propuesto
ING-LECSIN,ING-LAC-0040,Leche sin lactosa,Lácteos,propuesto
ING-LEVEN,ING-VAR-0005,Levadura En Polvo,Varios / revisar,revisar
ING-PAS,ING-SEC-0022,Pasas,Frutos secos y semillas,propuesto
ING-RALDE,ING-FRU-0083,Ralladura De Limon,Frutas,propuesto
ING-SAL,ING-ESP-0071,Sal,"Especias, sales y aromáticos",propuesto
ING-SEMMEZ,ING-VAR-0008,Semillas Mezcladas,Varios / revisar,revisar
